APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2019.0,2019P01AG052350,2392701.0,TargetOnly
2018.0,2018P01AG052350,2436063.0,TargetOnly
2017.0,2017P01AG052350,2498721.0,TargetOnly
2020.0,2020P01AG055367,2240027.0,TargetOnly
2019.0,2019P01AG055367,2245877.0,TargetOnly
2020.0,2020P01AG066597,2363959.0,TargetOnly
1999.0,1999P01HL013262,0.0,TargetOnly
2008.0,2008P01HL018974,1854625.0,TargetOnly
2005.0,2005P01HL018974,2023991.0,TargetOnly
2004.0,2004P01HL018974,2215504.0,TargetOnly
2014.0,2014P01HL020948,4452062.0,TargetOnly
2013.0,2013P01HL020948,4394989.0,TargetOnly
2010.0,2010P01HL020948,6264117.0,TargetOnly
2009.0,2009P01HL020948,6658223.0,TargetOnly
2006.0,2006P01HL030086,2461676.0,TargetOnly
2007.0,2007P01HL030568,4253609.0,TargetOnly
2009.0,2009P01HL034343,1682621.0,TargetOnly
2003.0,2003P01HL041633,3049158.0,TargetOnly
2001.0,2001P01HL047660,2116068.0,TargetOnly
2003.0,2003P01HL054591,2304257.0,TargetOnly
2004.0,2004P01HL054710,2140214.0,TargetOnly
2000.0,2000P01HL054710,2268915.0,TargetOnly
2009.0,2009P01HL059996,2189703.0,TargetOnly
2001.0,2001P01HL060901,1618062.0,TargetOnly
1999.0,1999P01HL060901,0.0,TargetOnly
2008.0,2008P01HL062250,2679042.0,TargetOnly
2010.0,2010P01HL062984,2209410.0,TargetOnly
2013.0,2013P01HL096571,1825130.0,TargetOnly
2013.0,2013P01HL098053,2114052.0,TargetOnly
2012.0,2012P01HL098055,2541466.0,TargetOnly
2010.0,2010P01NS002808,1411455.0,TargetOnly
2010.0,2010P01NS024621,1377790.0,TargetOnly
2010.0,2010P01NS032636,1392112.0,TargetOnly
2009.0,2009P01NS032636,1424205.0,TargetOnly
2008.0,2008P01NS032636,1424115.0,TargetOnly
2003.0,2003P01NS032636,1944204.0,TargetOnly
1999.0,1999P01NS034569,0.0,TargetOnly
2007.0,2007P01NS035965,1511320.0,TargetOnly
2012.0,2012P01NS038660,17303.0,TargetOnly
2004.0,2004P01NS028121,1728139.0,TargetOnly
2001.0,2001P01NS028121,1708057.0,TargetOnly
2000.0,2000P01NS028121,1948592.0,TargetOnly
